POLICY_NUM,FREE_LOOKS,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00478241,N,Adjustable CompLife,065425    ,028  ,302,170,855,PA
00478242,N,Adjustable CompLife,065425    ,028  ,302,106,855,PA
00478243,N,Adjustable CompLife,017960    ,028  ,101,79,855,PA
00478244,N,Adjustable CompLife,037772    ,028  ,546,82,855,MD
00478245,N,Adjustable CompLife,032025    ,028  ,627,74,855,MD
00478246,N,Level Term 20,095610    ,028  ,122,120,812,PA
00478247,N,Level Term 20,071540    ,028  ,256,162,855,SC
00478248,N,Single Premium Life,095610    ,028  ,165,103,855,PA
00478249,N,Single Premium Life,095610    ,028  ,165,79,855,PA
00478250,N,90 Life,095610    ,028  ,165,42,855,PA
00478251,N,Single Premium Life,058682    ,028  ,355,65,855,MD
00478252,N,Level Term 10,0B6362    ,028  ,35,112,821,MD
00478253,N,Adjustable CompLife,073748    ,028  ,239,81,851,MD
00478254,N,Level Term 10,016941    ,028  ,93,77,847,MD
00478255,N,Level Term 20,037772    ,028  ,546,134,855,PA
00478256,N,Adjustable CompLife,005951    ,028  ,131,40,855,WV
00478257,N,90 Life,099992    ,028  ,#VALUE!,16,855,WV
00478258,N,Level Term 20,090918    ,028  ,167,140,833,MD
00478259,N,Term 10,031745    ,028  ,623,13,846,MD
00478260,N,Level Term 10,001325    ,028  ,130,85,837,MD
00478261,N,Adjustable CompLife,001325    ,028  ,147,44,854,MD
00478262,N,Adjustable CompLife,001325    ,028  ,147,16,854,MD
00478263,N,Level Term 10,001795    ,028  ,139,120,848,MD
00478264,N,Level Term 10,030771    ,028  ,649,101,854,MD
00478265,N,Adjustable CompLife,011730    ,028  ,92,23,831,TX
00478266,N,Adjustable CompLife,001795    ,028  ,145,88,853,MD
00478267,N,Adjustable CompLife,094915    ,028  ,170,64,853,FL
00478268,N,Level Term 10,086622    ,028  ,208,119,853,NY
00478269,N,Level Term 20,099429    ,028  ,150,138,853,MD
00478270,N,Adjustable CompLife,017994    ,028  ,75,16,827,MD
00478271,N,Level Term 10,086622    ,028  ,154,90,799,NC
00478272,N,Level Term 20,015611    ,028  ,106,166,852,MD
00478273,N,Adjustable CompLife,015611    ,028  ,106,45,852,MD
00478274,N,Adjustable CompLife,073748    ,028  ,243,7,852,MD
00478275,N,Adjustable CompLife,005951    ,028  ,131,85,852,VA
00478276,N,Adjustable CompLife,095933    ,028  ,163,61,852,MD
00478277,N,Adjustable CompLife,095933    ,028  ,163,59,852,MD
00478278,N,Single Premium Life,011730    ,028  ,115,88,852,TX
00478279,N,Level Term 20,095933    ,028  ,153,145,842,MD
00478280,N,Adjustable CompLife,065425    ,028  ,302,110,852,MD
00478281,N,Estate CompLife,0E5570    ,028  ,18,112,841,PA
00478282,N,Estate CompLife,0E5570    ,028  ,18,103,841,PA
00478283,N,Adjustable CompLife,017960    ,028  ,101,70,851,PA
00478284,N,Adjustable CompLife,095933    ,028  ,163,110,851,MD
00478285,N,Estate CompLife,004948    ,028  ,136,114,851,MD
00478286,N,Adjustable CompLife,089855    ,028  ,195,79,851,MD
00478287,N,Level Term 10,095933    ,028  ,163,74,851,MD
00478288,N,Adjustable CompLife,095933    ,028  ,163,13,851,MD
00478289,N,Level Term 20,095933    ,028  ,163,160,850,MD
00478290,N,Level Term 20,095933    ,028  ,110,108,797,MD
00478291,N,90 Life,095933    ,028  ,163,91,850,MD
00478292,N,90 Life,095933    ,028  ,163,70,850,MD
00478293,N,Adjustable CompLife,095933    ,028  ,163,52,850,MD
00478294,N,Adjustable CompLife,095933    ,028  ,163,40,850,MD
00478295,N,Adjustable CompLife,095933    ,028  ,163,27,850,MD
00478296,N,Level Term 20,086995    ,028  ,195,133,839,MD
00478297,N,90 Life,000007    ,028  ,#VALUE!,34,807,PA
00478298,N,Term 10,086622    ,028  ,191,26,833,MD
00478299,N,Estate CompLife,086622    ,028  ,208,16,849,MD
00478300,N,Level Term 10,058682    ,028  ,328,117,822,MD
00478301,N,Level Term 20,032025    ,028  ,627,137,849,MD
00478302,N,Adjustable CompLife,032025    ,028  ,627,112,849,MD
00478303,N,Adjustable CompLife,032025    ,028  ,627,18,849,MD
00478304,N,Adjustable CompLife,005951    ,028  ,131,88,849,MD
00478305,N,Estate CompLife,030771    ,028  ,604,52,804,SC
00478306,N,Adjustable CompLife,001795    ,028  ,145,87,849,MD
00478307,N,Single Premium Life,020624    ,028  ,92,61,849,FL
00478308,N,Adjustable CompLife,061473    ,028  ,334,20,849,CA
00478309,N,Adjustable CompLife,099992    ,028  ,#VALUE!,89,849,PA
00478310,N,Level Term 10,015611    ,028  ,106,96,848,MD
00478311,N,Level Term 10,054860    ,028  ,387,72,848,SC
00478312,N,Adjustable CompLife,001325    ,028  ,147,39,848,MD
00478313,N,Adjustable CompLife,002555    ,028  ,141,76,848,MD
00478314,N,Adjustable CompLife,035476    ,028  ,572,114,847,MD
00478315,N,Level Term 10,086995    ,028  ,197,123,838,MD
00478316,N,Adjustable CompLife,086995    ,028  ,206,9,847,MD
00478317,N,Adjustable CompLife,099992    ,028  ,#VALUE!,60,847,WV
00478318,N,Adjustable CompLife,011198    ,028  ,117,96,847,MD
00478319,N,Adjustable CompLife,086622    ,028  ,208,117,847,NM
00478320,N,Adjustable CompLife,099429    ,028  ,150,63,846,VA
00478321,N,Adjustable CompLife,001325    ,028  ,147,121,846,NC
